Gene ID	Gene Name	'ca1, ca4 double mutant' vs 'wild type' in '500 ppm carbon dioxide'.p-value	'ca1, ca4 double mutant' vs 'wild type' in '500 ppm carbon dioxide'.log2foldchange	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'ca1, ca4 double mutant'.p-value	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'ca1, ca4 double mutant'.log2foldchange	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'wild type'.p-value	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'wild type'.log2foldchange	'ca1, ca4 double mutant' vs 'wild type' in '150 ppm carbon dioxide'.p-value	'ca1, ca4 double mutant' vs 'wild type' in '150 ppm carbon dioxide'.log2foldchange
AT1G01010	NAC001	0.862677670844572	0.3	0.999905277372085	0.1	0.991553848411122	0	0.999982111190236	0.2
AT1G01020	ARV1	0.999602131988726	0	0.999905277372085	-0.2	0.871951625712489	-0.1	0.999982111190236	0
AT1G01030	NGA3	0.999602131988726	-0.1	0.999905277372085	0	0.963674706360493	0.1	0.999982111190236	0
AT1G01040	DCL1	0.999602131988726	-0.1	0.999905277372085	-0.3	0.597618191022474	-0.3	0.999982111190236	-0.1
AT1G01046	MIR838A	0.988187142755231	0.3	0.999905277372085	-0.2	0.428949048531075	-0.5	0.999982111190236	0
AT1G01050	PPA1	0.999602131988726	0.1	0.999905277372085	0	0.999835517546597	0	0.999982111190236	0.1
AT1G01060	LHY	NA	0	NA	0	NA	0	NA	0
AT1G01070		0.999602131988726	-0.2	0.999905277372085	0.3	0.683208091323496	0.3	0.999982111190236	0
AT1G01080		0.999602131988726	-0.1	0.999905277372085	0	0.813307291812375	0.2	0.999982111190236	0.1
AT1G01090	PDH-E1 ALPHA	0.999602131988726	0	0.999905277372085	0	0.946091030951285	0.1	0.999982111190236	0.1
AT1G01100	RPP1A	0.862677670844572	-0.3	0.999905277372085	0.1	0.545481021859292	0.4	0.999982111190236	0
AT1G01110	IQD18	0.999602131988726	0	0.999905277372085	0	0.939398604757709	0.1	0.999982111190236	0
AT1G01120	KCS1	0.999602131988726	0.1	0.999905277372085	-0.2	0.818671979330887	-0.2	0.999982111190236	0
AT1G01130		0.999602131988726	-0.1	0.999905277372085	0	0.990755730544111	0	0.999982111190236	-0.1
AT1G01140	CIPK9	0.580533554967553	0.3	0.999905277372085	0.1	0.737038523228433	-0.2	0.999982111190236	0
AT1G01150		NA	-0.1	0.999905277372085	0	0.967154014117394	0.1	0.999982111190236	0
AT1G01160	GIF2	0.999602131988726	-0.2	0.999905277372085	-0.1	0.997637346725173	0	0.999982111190236	0
AT1G01170		0.999602131988726	-0.1	0.999905277372085	-0.3	0.713694565694487	-0.2	0.999982111190236	0
AT1G01180		0.999602131988726	0.1	0.999905277372085	-0.2	0.82815853115355	-0.2	0.999982111190236	0
AT1G01183	MIR165A	NA	0	NA	-0.2	NA	0	0.999982111190236	0
AT1G01190	CYP78A8	0.357016989282715	-0.5	0.718995989911118	-0.6	0.72891401998842	-0.3	0.999982111190236	-0.1
AT1G01200	RABA3	0.851778183759845	-0.4	0.999905277372085	0	0.811287102281629	0.2	0.999982111190236	0
AT1G01210		0.999602131988726	-0.1	0.999905277372085	0	0.965630134274973	0	0.999982111190236	-0.1
AT1G01220	FKGP	0.999602131988726	-0.1	0.999905277372085	0	0.97295889297301	0	0.999982111190236	0
AT1G01225		0.999602131988726	-0.2	0.999905277372085	0	0.381139656773921	0.4	0.999982111190236	0.1
AT1G01230		0.999602131988726	0.2	0.999905277372085	0	0.951469946914086	-0.1	0.999982111190236	0.1
AT1G01240		0.999602131988726	0	0.999905277372085	-0.2	0.767910369411806	-0.3	0.999982111190236	0
AT1G01250	ERF023	0.999602131988726	-0.3	0.999905277372085	-0.3	0.852081083070133	-0.2	0.999982111190236	-0.1
AT1G01260	BHLH13	0.999602131988726	0.1	0.999905277372085	0.1	0.985768703592802	0	0.999982111190236	0
AT1G01270		NA	0	NA	0	NA	0	NA	0
AT1G01280	CYP703A2	NA	0	NA	0	NA	0	NA	0
AT1G01290	CNX3	0.999602131988726	-0.1	0.999905277372085	-0.1	0.975033345956322	0	0.999982111190236	0
AT1G01300	APF2	0.999602131988726	-0.1	0.999905277372085	0.3	0.759071046343527	0.3	0.999982111190236	0
AT1G01305		NA	0	NA	0	NA	0	0.999982111190236	0
AT1G01310		NA	0.3	0.999905277372085	0	NA	-0.1	0.999982111190236	0.1
AT1G01320		0.999602131988726	-0.1	0.999905277372085	0	0.873250632986119	0.2	0.999982111190236	0
AT1G01335	AREP1	NA	0	NA	0	NA	0	NA	0
